iter	Passed	Remaining
0	1	1566
1	2	1264
2	3	1082
3	3	988
4	4	950
5	5	914
6	6	899
7	7	897
8	8	885
9	8	879
10	9	869
11	10	876
12	12	927
13	13	920
14	13	908
15	14	901
16	15	895
17	16	890
18	17	880
19	17	876
20	18	867
21	19	864
22	20	857
23	20	850
24	21	845
25	22	838
26	23	834
27	23	829
28	24	824
29	25	827
30	26	841
31	27	845
32	29	852
33	29	847
34	30	843
35	31	839
36	32	834
37	32	829
38	33	826
39	34	823
40	35	819
41	35	816
42	36	814
43	37	810
44	38	807
45	38	804
46	39	801
47	40	812
48	42	818
49	42	815
50	43	813
51	44	812
52	45	810
53	46	807
54	46	805
55	47	802
56	48	800
57	49	797
58	49	793
59	50	792
60	51	790
61	52	788
62	52	785
63	53	782
64	54	779
65	55	783
66	56	784
67	57	782
68	57	781
69	58	779
70	59	778
71	60	776
72	60	773
73	61	771
74	62	768
75	63	767
76	63	765
77	64	763
78	65	760
79	66	759
80	66	757
81	67	755
82	67	750
83	68	748
84	69	751
85	71	763
86	72	761
87	73	760
88	74	759
89	74	758
90	75	755
91	76	754
92	77	752
93	77	751
94	78	750
95	79	749
96	80	748
97	81	747
98	81	745
99	82	743
100	83	741
101	84	740
102	85	740
103	85	739
104	86	739
105	87	737
106	88	736
107	88	734
108	89	732
109	90	730
110	90	727
111	91	725
112	92	724
113	92	721
114	93	719
115	94	717
116	94	715
117	95	714
118	96	712
119	97	711
120	97	710
121	98	708
122	99	706
123	100	710
124	101	709
125	102	709
126	102	707
127	103	705
128	104	704
129	105	703
130	105	702
131	106	700
132	107	699
133	108	698
134	108	697
135	109	696
136	110	695
137	111	694
138	111	693
139	112	691
140	113	690
141	113	687
142	114	687
143	115	686
144	116	685
145	117	685
146	117	683
147	118	681
148	119	680
149	119	679
150	120	678
151	121	678
152	122	677
153	123	676
154	123	674
155	124	672
156	125	671
157	125	670
158	126	669
159	127	668
160	127	666
161	128	665
162	129	664
163	130	665
164	131	663
165	131	662
166	132	661
167	133	659
168	133	658
169	134	658
170	135	656
171	136	655
172	136	654
173	137	652
174	138	651
175	138	649
176	139	648
177	140	646
178	140	645
179	141	643
180	141	642
181	142	640
182	143	639
183	144	640
184	145	639
185	145	638
186	146	637
187	147	636
188	148	635
189	148	634
190	149	633
191	150	632
192	150	631
193	151	629
194	152	628
195	152	627
196	153	626
197	154	624
198	154	623
199	155	622
200	156	621
201	157	620
202	157	620
203	158	619
204	159	618
205	160	618
206	161	618
207	162	617
208	162	616
209	163	614
210	164	613
211	164	612
212	165	611
213	166	610
214	166	609
215	167	608
216	168	607
217	168	605
218	169	604
219	170	603
220	170	602
221	171	601
222	172	600
223	173	599
224	173	598
225	174	598
226	175	597
227	176	597
228	177	596
229	177	595
230	178	594
231	179	593
232	179	592
233	180	590
234	181	589
235	181	588
236	182	587
237	182	585
238	183	584
239	184	583
240	184	582
241	185	580
242	186	579
243	186	578
244	187	577
245	187	576
246	188	574
247	189	574
248	190	574
249	191	573
250	191	572
251	192	571
252	193	570
253	194	570
254	194	569
255	195	568
256	196	566
257	196	565
258	197	564
259	198	563
260	198	562
261	199	561
262	200	560
263	200	559
264	201	558
265	201	557
266	202	556
267	203	554
268	203	553
269	204	553
270	205	552
271	205	551
272	206	550
273	207	549
274	208	548
275	208	547
276	209	547
277	210	547
278	211	546
279	212	545
280	212	544
281	213	543
282	214	542
283	214	541
284	215	540
285	216	539
286	216	538
287	217	537
288	217	536
289	218	535
290	219	534
291	220	533
292	220	532
293	221	532
294	222	532
295	223	531
296	224	531
297	225	530
298	225	529
299	226	528
300	227	527
301	227	526
302	228	525
303	229	524
304	229	523
305	230	522
306	230	521
307	231	520
308	232	519
309	233	518
310	233	518
311	234	518
312	236	518
313	236	517
314	237	516
315	238	515
316	238	514
317	239	513
318	240	512
319	240	511
320	241	510
321	242	509
322	242	508
323	243	507
324	243	506
325	244	505
326	245	504
327	245	503
328	246	502
329	247	501
330	247	501
331	248	500
332	249	499
333	250	499
334	251	498
335	252	498
336	252	497
337	253	496
338	254	495
339	255	495
340	255	494
341	256	493
342	257	492
343	257	491
344	258	490
345	259	489
346	259	488
347	260	487
348	260	486
349	261	485
350	262	485
351	263	484
352	263	483
353	264	483
354	265	482
355	266	481
356	266	480
357	267	479
358	268	479
359	269	478
360	269	477
361	270	477
362	271	476
363	272	475
364	272	474
365	273	474
366	274	473
367	274	472
368	275	471
369	276	470
370	277	469
371	277	469
372	278	468
373	279	467
374	280	467
375	281	466
376	282	466
377	282	465
378	283	464
379	284	464
380	285	463
381	285	462
382	286	461
383	287	460
384	287	459
385	288	458
386	289	458
387	290	457
388	290	456
389	291	455
390	292	454
391	292	453
392	293	453
393	294	452
394	294	451
395	295	450
396	296	449
397	297	449
398	297	448
399	298	447
400	299	447
401	300	447
402	301	446
403	302	446
404	303	445
405	303	444
406	304	443
407	305	442
408	305	441
409	306	441
410	307	440
411	307	439
412	308	438
413	308	437
414	309	436
415	310	435
416	311	435
417	311	434
418	312	433
419	313	432
420	314	432
421	314	431
422	315	430
423	316	429
424	317	429
425	318	429
426	319	428
427	320	428
428	321	427
429	321	426
430	322	425
431	323	424
432	324	424
433	325	424
434	325	423
435	326	422
436	327	421
437	328	421
438	329	421
439	330	420
440	331	420
441	332	419
442	332	418
443	333	417
444	333	416
445	334	415
446	335	414
447	336	414
448	336	413
449	337	412
450	338	411
451	338	410
452	339	409
453	339	408
454	340	408
455	341	407
456	342	406
457	342	405
458	343	405
459	344	404
460	344	403
461	345	402
462	346	401
463	348	402
464	348	401
465	349	400
466	350	399
467	351	399
468	351	398
469	352	397
470	353	396
471	353	395
472	354	394
473	355	394
474	355	393
475	356	392
476	357	391
477	357	390
478	358	389
479	359	389
480	360	388
481	361	388
482	362	388
483	363	387
484	364	387
485	365	386
486	365	385
487	366	385
488	367	384
489	368	383
490	369	382
491	369	381
492	370	381
493	371	380
494	372	379
495	372	378
496	373	378
497	374	377
498	375	376
499	376	376
500	376	375
501	377	374
502	378	373
503	378	372
504	379	371
505	380	371
506	380	370
507	381	369
508	381	368
509	382	367
510	383	366
511	384	366
512	385	365
513	385	364
514	386	363
515	387	363
516	387	362
517	388	361
518	389	360
519	390	360
520	391	359
521	391	358
522	392	358
523	393	357
524	393	356
525	394	355
526	395	354
527	396	354
528	396	353
529	397	352
530	398	351
531	398	350
532	400	350
533	401	349
534	401	349
535	402	348
536	403	347
537	403	346
538	404	346
539	405	345
540	406	345
541	407	344
542	408	343
543	409	342
544	409	342
545	410	341
546	411	340
547	411	339
548	412	339
549	413	338
550	414	337
551	415	337
552	415	336
553	416	335
554	417	334
555	418	334
556	419	333
557	420	332
558	420	331
559	421	331
560	422	330
561	422	329
562	423	328
563	424	327
564	424	327
565	425	326
566	426	325
567	427	324
568	427	324
569	428	323
570	429	322
571	430	321
572	431	321
573	432	320
574	432	319
575	433	319
576	434	318
577	434	317
578	435	316
579	436	315
580	437	315
581	437	314
582	438	313
583	439	312
584	439	312
585	440	311
586	441	310
587	442	309
588	442	309
589	443	308
590	444	307
591	445	306
592	445	306
593	446	305
594	447	304
595	448	303
596	448	303
597	449	302
598	450	301
599	450	300
600	451	299
601	452	299
602	452	298
603	453	297
604	454	296
605	455	295
606	455	295
607	456	294
608	457	293
609	457	292
610	458	291
611	459	291
612	459	290
613	460	289
614	461	288
615	461	287
616	462	287
617	463	286
618	463	285
619	464	284
620	465	283
621	465	283
622	466	282
623	467	281
624	467	280
625	468	279
626	469	279
627	470	278
628	470	277
629	471	276
630	472	276
631	472	275
632	473	274
633	474	273
634	475	273
635	476	272
636	477	272
637	478	271
638	478	270
639	479	269
640	480	268
641	480	268
642	481	267
643	482	266
644	483	265
645	483	265
646	484	264
647	485	263
648	485	262
649	486	261
650	486	261
651	487	260
652	488	259
653	489	258
654	489	258
655	490	257
656	491	256
657	491	255
658	492	254
659	493	254
660	494	253
661	495	252
662	495	251
663	496	251
664	497	250
665	497	249
666	498	248
667	499	248
668	499	247
669	500	246
670	500	245
671	501	244
672	502	244
673	502	243
674	503	242
675	504	241
676	505	241
677	506	240
678	506	239
679	507	238
680	507	237
681	508	237
682	509	236
683	510	235
684	510	234
685	511	234
686	512	233
687	512	232
688	513	231
689	514	230
690	514	230
691	515	229
692	516	228
693	516	227
694	517	227
695	518	226
696	519	225
697	520	225
698	521	224
699	521	223
700	522	222
701	523	222
702	523	221
703	524	220
704	525	219
705	525	218
706	526	218
707	527	217
708	527	216
709	528	215
710	529	215
711	529	214
712	530	213
713	531	212
714	531	211
715	532	211
716	533	210
717	533	209
718	534	208
719	535	208
720	535	207
721	536	206
722	537	205
723	538	205
724	538	204
725	539	203
726	540	202
727	540	202
728	541	201
729	542	200
730	542	199
731	543	198
732	544	198
733	545	197
734	545	196
735	546	196
736	547	195
737	548	194
738	549	193
739	550	193
740	550	192
741	551	191
742	552	190
743	552	190
744	553	189
745	554	188
746	554	187
747	555	187
748	556	186
749	557	185
750	557	184
751	558	184
752	559	183
753	560	182
754	560	181
755	561	181
756	562	180
757	562	179
758	563	179
759	564	178
760	565	177
761	566	176
762	567	176
763	567	175
764	568	174
765	569	173
766	569	173
767	570	172
768	571	171
769	571	170
770	572	170
771	573	169
772	574	168
773	574	167
774	575	167
775	576	166
776	577	165
777	578	164
778	578	164
779	579	163
780	580	162
781	580	161
782	581	161
783	582	160
784	583	159
785	583	158
786	584	158
787	585	157
788	585	156
789	586	155
790	586	155
791	587	154
792	588	153
793	588	152
794	589	151
795	590	151
796	590	150
797	591	149
798	592	148
799	592	148
800	593	147
801	594	146
802	595	146
803	596	145
804	596	144
805	597	143
806	598	143
807	598	142
808	599	141
809	600	140
810	600	140
811	601	139
812	602	138
813	602	137
814	603	136
815	603	136
816	604	135
817	605	134
818	605	133
819	606	133
820	606	132
821	607	131
822	608	130
823	609	130
824	610	129
825	610	128
826	611	127
827	612	127
828	612	126
829	613	125
830	614	124
831	614	124
832	615	123
833	616	122
834	616	121
835	617	121
836	618	120
837	618	119
838	619	118
839	619	118
840	620	117
841	621	116
842	622	115
843	622	115
844	623	114
